,1a,1b,1c,1d,1e,1f,1g,1h,2a,2b,2c,2d,2e,2f,2g,2h,3a,3b,3c,3d,3e,3f,3g,3h,4a,4b,4c,4d,4e,4f,4g,4h,5a,5b,5c,5d,5e,5f,5g,5h,6a,6b,6c,6d,6e,6f,6g,6h,7a,7b,7c,7d,7e,7f,7g,7h,8a,8b,8c,8d,8e,8f,8g,8h,val
0,r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,P,P,P,P,R,0,B,Q,K,B,N,R,27.0
1,r,n,b,q,k,b,n,r,p,p,p,p,0,p,p,p,0,0,0,0,p,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,P,P,P,P,P,P,R,0,B,Q,K,B,N,R,124.0
2,r,n,b,q,k,0,n,r,p,p,p,p,0,p,p,p,0,0,0,b,p,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,P,P,P,P,P,R,0,B,Q,K,B,0,R,209.0
3,r,n,b,q,k,0,n,r,p,p,p,p,0,p,p,p,0,0,0,0,p,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,P,P,P,P,R,R,0,B,Q,K,B,0,0,329.0
4,r,n,b,q,k,0,n,r,p,p,0,p,0,p,p,p,0,0,0,N,p,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,P,P,P,P,R,R,0,B,Q,K,B,0,0,530.0
5,r,n,b,q,0,k,n,r,p,p,0,p,0,p,p,p,0,0,0,N,p,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,N,0,0,P,P,P,P,0,P,P,R,R,0,B,Q,K,B,0,0,529.0
6,r,n,b,q,0,k,n,r,0,p,0,p,0,p,p,p,p,0,0,N,p,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,B,0,N,0,0,P,P,P,P,0,P,P,R,R,0,B,Q,K,0,0,0,530.0
7,r,n,b,q,0,k,0,r,0,p,0,p,0,p,p,p,p,0,0,N,p,n,0,0,0,0,p,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,N,0,0,P,P,P,P,0,P,P,R,R,0,B,Q,K,0,0,0,526.0
8,r,n,b,0,0,k,0,r,0,p,0,p,0,p,p,p,p,0,0,N,p,P,0,0,q,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,N,0,0,P,P,P,P,0,P,P,R,R,0,B,Q,K,0,0,0,727.5
9,r,n,b,0,0,k,0,r,0,p,0,p,0,p,p,p,p,0,0,N,p,P,0,0,0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,N,0,0,P,P,P,B,0,P,P,R,R,0,0,Q,K,0,0,0,1521.5
10,r,n,N,0,0,k,0,r,0,p,0,p,0,p,0,p,p,0,0,0,p,p,0,0,0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,N,0,0,P,P,P,B,0,P,P,R,R,0,0,Q,K,0,0,0,1618.0
11,r,n,N,0,0,k,0,r,0,p,0,p,0,p,0,B,p,0,0,0,0,p,0,0,0,0,p,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,B,0,P,P,R,R,0,0,Q,K,0,0,0,1715.0
12,r,n,N,0,0,k,0,0,0,p,0,p,0,p,0,R,p,0,0,0,0,p,0,0,0,0,p,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,B,0,P,P,0,R,0,0,Q,K,0,0,0,1917.0
13,r,n,0,0,0,k,0,0,0,p,0,0,0,p,0,R,p,0,0,N,0,p,0,0,0,0,p,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,B,0,P,P,0,R,0,0,Q,K,0,0,0,2018.5
14,r,n,0,0,0,0,0,0,0,N,0,0,k,p,0,R,p,0,0,0,0,p,0,0,0,0,p,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,B,0,P,P,0,R,0,0,Q,K,0,0,0,2117.5
15,r,n,0,0,0,0,0,R,0,N,0,0,k,p,0,0,p,0,0,0,0,p,0,0,0,0,0,0,p,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,B,0,P,P,0,R,0,0,Q,K,0,0,0,2307.5
16,r,n,0,0,0,0,0,R,0,N,0,0,k,p,0,0,0,0,0,0,0,p,0,0,B,0,0,0,p,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,0,0,P,P,0,R,0,0,Q,K,0,0,0,2410.0
17,0,n,0,0,0,0,0,R,0,N,0,0,k,p,0,0,0,0,0,Q,0,p,0,0,r,0,0,0,p,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,0,0,P,P,0,R,0,0,0,K,0,0,0,11904.5
18,r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,0,R,27.0
19,r,n,b,q,k,b,0,r,p,p,p,p,p,p,p,p,0,0,0,0,0,0,0,n,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,0,R,123.0
20,r,n,b,q,k,b,0,r,0,p,p,p,p,p,p,p,0,0,0,0,0,0,0,n,p,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,P,P,P,P,R,0,B,Q,K,B,0,R,129.5
21,r,n,b,q,k,b,0,r,0,p,p,p,p,p,0,p,0,0,0,0,0,0,0,n,p,0,0,0,N,0,p,0,0,0,0,P,0,0,0,0,0,0,N,0,0,0,0,0,P,P,P,0,P,P,P,P,R,0,B,Q,K,B,0,R,136.0
22,0,n,b,q,k,b,0,r,r,p,p,p,p,p,0,p,0,0,0,0,0,0,0,n,p,0,0,0,N,0,B,0,0,0,0,P,0,0,0,0,0,0,N,0,0,0,0,0,P,P,P,0,P,P,P,P,R,0,0,Q,K,B,0,R,238.5
